Question,Ground Truth,Chatbot Answer,Precision,Recall,F1 Score
EGAT เก็บข้อมูลทางการเงินประเภทใดบ้าง?,EGAT เก็บข้อมูลทางการเงิน เช่น หมายเลขบัตรเครดิตและบัตรเดบิต วิธีการชำระเงิน ข้อมูลพร้อมเพย์ และประวัติทางบัญชีธนาคาร,"EGAT เก็บข้อมูลทางการเงินประเภทต่าง ๆ ดังนี้ครับ:

1. หมายเลขของบัตรเครดิตและบัตรเดบิต
2. วิธีการชำระเงิน (เช่น เงินสด หรือ บัตรเครดิต)
3. ข้อมูลพร้อมเพย์
4. หมายเลขบัญชีและประเภทของบัญชีธนาคาร
5. ประวัติทางบัญชีธนาคาร
6. รายการเงินฝากถอนในบัญชี
7. รายละเอียดการจ่ายเงิน
8. ข้อมูลการสมัครใช้ผลิตภัณฑ์ สินค้าและบริการ (ผ่านแอปพลิเคชัน)

ข้อมูลเหล่านี้จะถูกเก็บรวบรวมเพื่อใช้ในการให้บริการและการวิเคราะห์ข้อมูลตามความสนใจหรือพฤติกรรมของลูกค้า [Page 2].",0.7713385224342346,0.8933266401290894,0.8278628587722778
ข้อมูลใดที่เกี่ยวข้องกับการท าธุรกรรมที่ EGAT รวบรวม?,EGAT รวบรวมข้อมูลเกี่ยวกับประวัติการซื้อ จำนวนเงินในการซื้อ และพฤติกรรมการซื้อของลูกค้า,"EGAT รวบรวมข้อมูลที่เกี่ยวข้องกับการทำธุรกรรมหลายประเภท ซึ่งรวมถึง:

1. ประวัติการซื้อ: ข้อมูลเกี่ยวกับการซื้อสินค้าหรือบริการที่ท่านทำกับ EGAT
2. จำนวนเงินในการซื้อ: จำนวนเงินที่ใช้ในการทำธุรกรรม
3. พฤติกรรมการซื้อ: ข้อมูลเกี่ยวกับพฤติกรรมการซื้อของลูกค้า เช่น สิ่งที่โปรดปราน ความชอบ และความสนใจ
4. เวลาที่เข้าถึงบริการ: ข้อมูลเกี่ยวกับเวลาที่ท่านใช้บริการ
5. รายการข้อมูลที่ท่านค้นหา: ข้อมูลเกี่ยวกับสิ่งที่ท่านค้นหาผ่านบริการของ EGAT

ข้อมูลเหล่านี้จะถูกใช้เพื่อวิเคราะห์และปรับปรุงบริการของ EGAT ให้ตรงกับความต้องการของลูกค้า [Page 2].",0.6918567419052124,0.8425779938697815,0.759814977645874
EGAT ใช้ข้อมูลจากอุปกรณ์อิเล็กทรอนิกส์ประเภทใดในการเก็บข้อมูล?,"EGAT ใช้ข้อมูลจากอุปกรณ์อิเล็กทรอนิกส์ เช่น IP address, Device ID, ข้อมูลพิกัดทางภูมิศาสตร์ (GPS) และประวัติการค้นหา","EGAT ใช้ข้อมูลจากอุปกรณ์อิเล็กทรอนิกส์ประเภทต่าง ๆ ในการเก็บข้อมูล เช่น เลขที่อยู่ไอพีหรืออินเทอร์เน็ตโพรโทคอล (IP address), เว็บบีคอน (Web beacon), ล็อก (Log), ไอดีอุปกรณ์ (Device ID), ข้อมูลพิกัดทางภูมิศาสตร์ (GPS), รุ่นอุปกรณ์และประเภทของอุปกรณ์เครือข่าย, ข้อมูลการเชื่อมต่อ, ข้อมูลการเข้าถึง, ข้อมูลการเข้าใช้งานแบบ Single sign-on (SSO), การเข้าสู่ระบบ (Login log), เวลาที่เข้าถึง, ระยะเวลาที่ใช้บนหน้าเพจและหน้าจอต่าง ๆ ของ EleXA Platform ทั้งบนแอปพลิเคชันและเว็บไซต์, คุกกี้, ข้อมูลการเข้าสู่ระบบ, ประวัติการค้นหา, ข้อมูลการเรียกดู, ประเภทและเวอร์ชันของเบราว์เซอร์ (Browser), การตั้งค่าเขตเวลา (Time zone setting) และสถานที่ตั้ง, ประเภทและเวอร์ชันของปลั๊กอินเบราว์เซอร์ (Plug-In Browser), ระบบปฏิบัติการและแพลตฟอร์ม และเทคโนโลยีอื่น ๆ บนอุปกรณ์ที่ท่านใช้ในการเข้าถึงแพลตฟอร์ม [Page 2] ครับ",0.6813972592353821,0.8880685567855835,0.771125316619873
ข้อมูลที่ใช้ในการสะสมคะแนนมีอะไรบ้าง?,"ข้อมูลที่เกี่ยวข้องกับโปรแกรมการสะสมคะแนน เช่น EleX Point, EXP, การใช้บริการ และการแลกเปลี่ยนคะแนนสะสม","ข้อมูลที่ใช้ในการสะสมคะแนนมีดังนี้:

1. **คะแนน EleX Point และ EXP**: ข้อมูลเกี่ยวกับคะแนนที่สะสมจากการใช้บริการและการซื้อผลิตภัณฑ์ต่าง ๆ ผ่านโปรแกรมการสะสมคะแนน
2. **ข้อมูลการใช้บริการ**: ข้อมูลพฤติกรรมการใช้บริการและการซื้อผลิตภัณฑ์ต่าง ๆ ที่เกี่ยวข้องกับโปรแกรมการสะสมคะแนน
3. **การแลกเปลี่ยนคะแนน**: ข้อมูลเกี่ยวกับการแลกคะแนนสะสม รับ จ่ายคะแนน รวมถึงการแลกเปลี่ยนและโอนคะแนนไปยังเครือข่ายพันธมิตรของ EGAT

ข้อมูลเหล่านี้จะช่วยในการวิเคราะห์และจัดการคะแนนสะสมของผู้ใช้บริการในระบบ [Page 5]. 

ครับ",0.7010120153427124,0.8306110501289368,0.7603284120559692
EGAT เก็บข้อมูลประเภทใดเกี่ยวกับการตลาด?,EGAT เก็บข้อมูลความต้องการในการรับข้อมูลทางการตลาดและรูปแบบการติดต่อสื่อสารที่ลูกค้าต้องการ,"EGAT เก็บข้อมูลประเภทต่าง ๆ ที่เกี่ยวข้องกับการตลาด เช่น ความต้องการของท่านในการรับข้อมูลทางการตลาดจาก EleXA, EleX by EGAT รวมถึงธุรกิจอื่น ๆ ในกลุ่มของ EGAT และพันธมิตรทางธุรกิจของ EGAT นอกจากนี้ยังรวมถึงรูปแบบหรือช่องทางการติดต่อสื่อสารที่ท่านต้องการสำหรับข้อมูลเกี่ยวกับผลิตภัณฑ์ สินค้าและบริการของ EGAT ข้อมูลการมีปฏิสัมพันธ์ระหว่างท่านและบริการของ EGAT และข้อมูลทางการตลาด เช่น ข้อมูลที่ท่านให้แก่ EGAT ตามที่ระบุในแบบสอบถาม ผลสำรวจ หรือกิจกรรมงานวิจัยต่าง ๆ [Page 1]. 

หากท่านมีข้อสงสัยเพิ่มเติมเกี่ยวกับข้อมูลที่เก็บรวบรวม สามารถสอบถามได้ครับ.",0.6873953342437744,0.8460785746574402,0.7585266828536987
ข้อมูลโปรไฟล์ที่ EGAT เก็บรวบรวมมีอะไรบ้าง?,"ข้อมูลโปรไฟล์รวมถึงชื่อบัญชี, ชื่อผู้ใช้, รหัสผ่าน และรหัสประจำตัว (PIN ID code)","ข้อมูลโปรไฟล์ที่ EGAT เก็บรวบรวมประกอบด้วยข้อมูลดังต่อไปนี้:

1. ชื่อบัญชี (Account identifiers)
2. ชื่อผู้ใช้และรหัสผ่าน
3. รหัสประจำตัว (PIN ID code) สำหรับการซื้อขายผลิตภัณฑ์ สินค้า และบริการบน EleXA Platform และ/หรือ EleX by EGAT

ข้อมูลเหล่านี้ถูกเก็บรวบรวมเพื่อให้ EGAT สามารถจัดการและให้บริการแก่ผู้ใช้ได้อย่างมีประสิทธิภาพ รวมถึงการรักษาความปลอดภัยในการเข้าถึงบริการต่าง ๆ ครับ [Page 1].",0.6925103664398193,0.8670048117637634,0.7699954509735107
EGAT จะใช้ข้อมูลส่วนบุคคลเมื่อใด?,EGAT จะใช้ข้อมูลส่วนบุคคลเมื่อได้รับความยินยอมจากท่านหรือเมื่อกฎหมายอนุญาต,"EGAT จะใช้ข้อมูลส่วนบุคคลเมื่อมีความจำเป็นในการดำเนินการตามวัตถุประสงค์ต่าง ๆ เช่น:

1. เพื่อการลงทะเบียน การยืนยันตัวตน และการคัดเลือกลูกค้าเพื่อเข้าใช้บริการ
2. เพื่อการวิเคราะห์ข้อมูลตามความสนใจหรือพฤติกรรมของลูกค้า (Profiling) และการวิเคราะห์ข้อมูล (Data Analytics)
3. เพื่อการติดต่อ สื่อสาร ประสานงาน ให้บริการ ประชาสัมพันธ์ แจ้งเตือนข่าวสาร นำเสนอผลิตภัณฑ์ บริการและโปรโมชัน
4. เพื่อการจัดการปัญหาทางด้านเทคนิค ด้านการให้บริการและให้ความช่วยเหลือแก่ลูกค้า
5. เพื่อจัดหาและนำเสนอสินค้าและบริการตามพฤติกรรมและข้อมูลความชื่นชอบของลูกค้า
6. เพื่อปฏิบัติตามหน้าที่ตามกฎหมายและคำสั่งของหน่วยงานรัฐ รวมทั้งใช้เป็นข้อมูลประกอบในการดำเนินตามกฎหมายในกรณีจำเป็น

การที่ท่านไม่ให้ข้อมูลส่วนบุคคลกับ EGAT อาจส่งผลกระทบต่อการดำเนินการตามที่ท่านร้องขอหรือสัญญาได้ครับ [Page 5].",0.6419050693511963,0.7887669205665588,0.707798182964325
สิทธิของลูกค้าในการให้ข้อมูลส่วนบุคคลมีอะไรบ้าง?,ลูกค้าต้องมั่นใจว่ามีสิทธิในการให้ข้อมูลส่วนบุคคลและต้องแจ้งบุคคลที่เกี่ยวข้องถึงนโยบายความเป็นส่วนตัว,"ลูกค้ามีสิทธิในการให้ข้อมูลส่วนบุคคลตามที่กฎหมายกำหนด ซึ่งรวมถึงสิทธิในการเข้าถึงข้อมูลส่วนบุคคลที่ EGAT เก็บรวบรวม ใช้ หรือเปิดเผยเกี่ยวกับตนเอง สิทธิในการขอให้แก้ไขข้อมูลส่วนบุคคลให้ถูกต้อง เป็นปัจจุบัน และไม่ก่อให้เกิดความเข้าใจผิด นอกจากนี้ ลูกค้ายังมีสิทธิในการขอให้ลบข้อมูลส่วนบุคคลที่ไม่สามารถระบุตัวตนได้ และสิทธิในการร้องเรียนต่อหน่วยงานที่เกี่ยวข้องหากเชื่อว่าการเก็บรวบรวม ใช้ หรือเปิดเผยข้อมูลส่วนบุคคลนั้นไม่ชอบด้วยกฎหมาย [Page 5].

หากท่านต้องการใช้สิทธิใด ๆ ของท่านในฐานะเจ้าของข้อมูลส่วนบุคคล สามารถติดต่อ EGAT หรือเจ้าหน้าที่คุ้มครองข้อมูลส่วนบุคคลของ EGAT ได้ครับ.",0.36583226919174194,0.6019294857978821,0.4550814926624298
EGAT จะไม่เก็บข้อมูลส่วนบุคคลของผู้เยาว์ที่มีอายุเท่าไหร่?,EGAT จะไม่เก็บข้อมูลส่วนบุคคลของผู้เยาว์ที่อายุต่ำกว่า 20 ปีบริบูรณ์ หรือยังไม่บรรลุนิติภาวะตามกฎหมาย,EGAT จะไม่เก็บข้อมูลส่วนบุคคลของผู้เยาว์ที่มีอายุไม่ถึง 20 ปีบริบูรณ์ หรือยังไม่บรรลุนิติภาวะโดยการสมรสตามที่กฎหมายกำหนดครับ [Page 1].,0.8650180101394653,0.9228861927986145,0.8930156230926514
EGAT จะดำเนินการอย่างไรหากพบว่ามีการเก็บข้อมูลจากบุคคลที่ไม่ถูกต้อง?,EGAT จะดำเนินการลบข้อมูลส่วนบุคคลดังกล่าวทันทีที่ทราบถึงกรณีดังกล่าว,หาก EGAT พบว่ามีการเก็บข้อมูลจากบุคคลที่ไม่ถูกต้อง หรือข้อมูลส่วนบุคคลที่ไม่ได้รับความยินยอม EGAT จะดำเนินการลบข้อมูลส่วนบุคคลดังกล่าวทันทีที่ EGAT ทราบถึงกรณีดังกล่าว โดยจะไม่อาศัยความยินยอมหรือฐานทางกฎหมายอื่นใดในการเก็บข้อมูลนั้น และอาจต้องหยุดให้บริการแก่บุคคลเหล่านั้น เว้นแต่ในกรณีที่ EGAT อาจอาศัยหลักเกณฑ์หรือฐานทางกฎหมายอื่นนอกเหนือจากความยินยอมได้ [Page 1] ครับ,0.7246583700180054,0.8804240822792053,0.7949830293655396
ข้อมูลที่ EGAT ร้องขอนั้นจะถูกใช้เพื่อวัตถุประสงค์ใดบ้าง?,ข้อมูลจะถูกใช้เพื่อการลงทะเบียน การยืนยันตัวตน การวิเคราะห์ข้อมูล และการติดต่อสื่อสารกับลูกค้า,"ข้อมูลที่ EGAT ร้องขอนั้นจะถูกใช้เพื่อวัตถุประสงค์หลายประการ ได้แก่:

1. เพื่อการลงทะเบียน การยืนยันตัวตน และการคัดเลือกลูกค้าเพื่อเข้าใช้บริการ
2. เพื่อการวิเคราะห์ข้อมูลตามความสนใจหรือพฤติกรรมของลูกค้า (Profiling) และการวิเคราะห์ข้อมูล (Data Analytics)
3. เพื่อการติดต่อ สื่อสาร ประสานงาน ให้บริการ ประชาสัมพันธ์ แจ้งเตือนข่าวสาร นำเสนอผลิตภัณฑ์ บริการและโปรโมชัน
4. เพื่อการจัดการปัญหาทางด้านเทคนิค ด้านการให้บริการและให้ความช่วยเหลือแก่ลูกค้า
5. เพื่อจัดหาและนำเสนอสินค้าและบริการตามพฤติกรรมและข้อมูลความชื่นชอบของลูกค้า
6. เพื่ออำนวยความสะดวกแก่ลูกค้าในการเข้าร่วมกิจกรรมต่าง ๆ ของ EGAT
7. เพื่อรับรองให้มั่นใจว่าเว็บไซต์และบริการต่าง ๆ สามารถทำงานได้อย่างราบรื่นและปลอดภัย
8. เพื่อปฏิบัติตามหน้าที่ตามกฎหมายและคำสั่งของหน่วยงานรัฐ
9. เพื่อป้องกันผลประโยชน์ของ EGAT และผู้ที่เกี่ยวข้อง รวมไปถึงการระงับอันตรายที่อาจเกิดขึ้นต่อชีวิต ร่างกาย และสุขภาพของบุคคล

ข้อมูลที่ EGAT ร้องขอนั้นจะถูกใช้เพื่อวัตถุประสงค์เหล่านี้เพื่อให้บริการที่มีคุณภาพและตอบสนองความต้องการของลูกค้าอย่างมีประสิทธิภาพ [Page 4].",0.6730470061302185,0.8687773942947388,0.7584884762763977
EGAT จะจัดการกับปัญหาทางด้านใดบ้าง?,EGAT จะจัดการปัญหาทางด้านเทคนิค ด้านการให้บริการ และให้ความช่วยเหลือแก่ลูกค้า,EGAT จะจัดการกับปัญหาทางด้านต่าง ๆ เช่น การจัดการปัญหาทางด้านเทคนิค การให้บริการ และการให้ความช่วยเหลือแก่ลูกค้า โดยมีวัตถุประสงค์เพื่อให้บริการที่มีคุณภาพและตอบสนองต่อความต้องการของผู้ใช้บริการอย่างมีประสิทธิภาพ นอกจากนี้ยังมีการวิเคราะห์ข้อมูลตามความสนใจหรือพฤติกรรมของลูกค้าเพื่อปรับปรุงบริการให้ดียิ่งขึ้น [Page 5] ครับ,0.7497001886367798,0.8880592584609985,0.8130354285240173
EGAT จะรับรองความปลอดภัยของบริการอย่างไร?,EGAT จะรับรองให้มั่นใจว่าเว็บไซต์และ EleXA Platform สามารถทำงานอย่างราบรื่น มีประสิทธิภาพและปลอดภัย,EGAT จะรับรองความปลอดภัยของบริการโดยการออกแบบมาตรการรักษาความมั่นคงปลอดภัยของข้อมูลส่วนบุคคลที่เหมาะสม ซึ่งรวมถึงมาตรการป้องกันด้านการบริหารจัดการ มาตรการป้องกันด้านเทคนิค และมาตรการป้องกันทางกายภาพ เพื่อควบคุมการเข้าถึงข้อมูลส่วนบุคคล โดยมีการรักษาความลับ ความถูกต้อง และความพร้อมใช้งานของข้อมูล นอกจากนี้ยังมีการกำหนดสิทธิเข้าถึงข้อมูลของผู้ใช้งานและหน้าที่ความรับผิดชอบของผู้ใช้งาน เพื่อป้องกันการเข้าถึงข้อมูลส่วนบุคคลโดยไม่ได้รับอนุญาตหรือการลักลอบทำสำเนาข้อมูลส่วนบุคคล [Page 12] ครับ,0.6216004490852356,0.7494316697120667,0.6795567870140076
การไม่ให้ข้อมูลส่วนบุคคลกับ EGAT อาจส่งผลกระทบอย่างไรต่อผู้ให้ข้อมูล?,อาจทำให้ EGAT ไม่สามารถดำเนินการตามที่ร้องขอหรือสัญญาได้ และอาจส่งผลให้ไม่ได้รับผลิตภัณฑ์หรือบริการของ EGAT ได้ตามต้องการ,"การไม่ให้ข้อมูลส่วนบุคคลกับ EGAT อาจส่งผลกระทบต่อผู้ให้ข้อมูลในหลายด้าน เช่น:

1. **ไม่สามารถดำเนินการตามคำร้องขอหรือสัญญาได้**: หากผู้ให้ข้อมูลไม่ให้ข้อมูลที่จำเป็น EGAT อาจไม่สามารถให้บริการหรือผลิตภัณฑ์ที่ผู้ให้ข้อมูลร้องขอได้ ซึ่งอาจทำให้ผู้ให้ข้อมูลไม่ได้รับบริการที่ต้องการหรือไม่สามารถเข้าถึงผลิตภัณฑ์ที่ต้องการได้ [Page 1].

2. **ไม่สามารถเสนอหรือจัดหาผลิตภัณฑ์และบริการบางส่วนหรือทั้งหมด**: EGAT อาจไม่สามารถเสนอผลิตภัณฑ์หรือบริการบางอย่างให้กับผู้ให้ข้อมูลได้ หากข้อมูลที่จำเป็นไม่ได้รับการจัดเตรียมไว้ [Page 1].

3. **ความไม่สะดวกในการใช้บริการ**: การไม่ให้ข้อมูลส่วนบุคคลอาจทำให้ผู้ให้ข้อมูลไม่ได้รับความสะดวกในการใช้บริการ เนื่องจาก EGAT อาจไม่สามารถปรับแต่งบริการให้ตรงตามความต้องการของผู้ให้ข้อมูลได้ [Page 1].

4. **ผลกระทบต่อการปฏิบัติตามกฎหมาย**: หากผู้ให้ข้อมูลไม่ให้ข้อมูลที่จำเป็น อาจส่งผลกระทบต่อการปฏิบัติตามกฎหมายที่ EGAT หรือผู้ให้ข้อมูลมีหน้าที่ต้องปฏิบัติตาม ซึ่งอาจนำไปสู่บทกำหนดโทษที่เกี่ยวข้อง [Page 1].

ดังนั้น การให้ข้อมูลส่วนบุคคลที่ถูกต้องและครบถ้วนจึงเป็นสิ่งสำคัญเพื่อให้ EGAT สามารถให้บริการได้อย่างมีประสิทธิภาพและตรงตามความต้องการของผู้ให้ข้อมูลครับ.",0.7029696702957153,0.8401946425437927,0.7654808759689331
EGAT มีมาตรการรักษาความปลอดภัยข้อมูลอย่างไรบ้าง?,"EGAT มีมาตรการป้องกันด้านการบริหารจัดการ, ด้านเทคนิค, และด้านกายภาพ เพื่อรักษาความลับ ความถูกต้อง และความพร้อมใช้งานของข้อมูลส่วนบุคคล","EGAT มีมาตรการรักษาความปลอดภัยข้อมูลส่วนบุคคลที่เหมาะสม ซึ่งรวมถึง:

1. **มาตรการป้องกันด้านการบริหารจัดการ**: การกำหนดสิทธิในการเข้าถึงข้อมูลของผู้ใช้งาน และการกำหนดหน้าที่ความรับผิดชอบของผู้ใช้งาน เพื่อป้องกันการเข้าถึงข้อมูลโดยไม่ได้รับอนุญาต

2. **มาตรการป้องกันด้านเทคนิค**: การใช้เทคโนโลยีในการป้องกันข้อมูล เช่น การเข้ารหัสข้อมูล การใช้ไฟร์วอลล์ และการตรวจสอบระบบเพื่อป้องกันการเข้าถึงข้อมูลโดยไม่ได้รับอนุญาต

3. **มาตรการป้องกันทางกายภาพ**: การควบคุมการเข้าถึงสถานที่ที่เก็บข้อมูล เช่น การใช้ระบบรักษาความปลอดภัยในสถานที่เก็บข้อมูล

4. **การตรวจสอบและแก้ไขปัญหา**: หาก EGAT ตรวจพบปัญหาเกี่ยวกับการฉ้อฉลหรือการละเมิดด้านความปลอดภัยที่ต้องห้ามหรือผิดกฎหมาย จะดำเนินการแก้ไขโดยเร่งด่วนและเหมาะสมที่สุด โดยใช้ดุลยพินิจในการคำนึงถึงผลประโยชน์ของลูกค้าและผู้ที่ได้รับผลกระทบเป็นสำคัญ [Page 2].

การรักษาความปลอดภัยข้อมูลจึงเป็นสิ่งที่ EGAT ให้ความสำคัญอย่างยิ่งเพื่อปกป้องข้อมูลส่วนบุคคลของผู้ใช้งานครับ.",0.6777075529098511,0.8241162300109863,0.7437753677368164
หาก EGAT ตรวจพบปัญหาการละเมิดด้านความปลอดภัย จะดำเนินการอย่างไร?,EGAT จะดำเนินการแก้ไขปัญหาโดยเร่งด่วนและใช้ดุลยพินิจในการคำนึงถึงผลประโยชน์ของลูกค้าและผู้ที่ได้รับผลกระทบ,หาก EGAT ตรวจพบปัญหาการละเมิดด้านความปลอดภัย ทาง EGAT จะดำเนินการแก้ไขโดยเร่งด่วนและเหมาะสมที่สุด โดยใช้ดุลยพินิจในการคำนึงถึงผลประโยชน์ของลูกค้าและผู้ที่ได้รับผลกระทบเป็นสำคัญ ครับ [Page 5].,0.48405757546424866,0.7484033107757568,0.5878812074661255
นโยบายความเป็นส่วนตัวนี้มีผลบังคับใช้ตั้งแต่เมื่อใด?,นโยบายนี้มีผลบังคับใช้ ณ วันที่ที่ระบุข้างต้น,นโยบายความเป็นส่วนตัวนี้มีผลบังคับใช้ตั้งแต่วันที่ระบุในเอกสารที่เกี่ยวข้อง แต่ในข้อมูลที่ให้มาไม่มีการระบุวันที่ที่ชัดเจนครับ หากต้องการข้อมูลเพิ่มเติมเกี่ยวกับวันที่มีผลบังคับใช้ กรุณาตรวจสอบในเอกสารนโยบายความเป็นส่วนตัวที่เกี่ยวข้องครับ [Page 7].,0.6414130330085754,0.7656457424163818,0.698045015335083
EGAT อาจจำกัดการเข้าถึงข้อมูลส่วนบุคคลได้อย่างไร?,โดยการกำหนดสิทธิเข้าถึงข้อมูลของผู้ใช้งานและหน้าที่ความรับผิดชอบในการรักษาข้อมูลส่วนบุคคล,EGAT อาจจำกัดการเข้าถึงข้อมูลส่วนบุคคลได้โดยการกำหนดสิทธิเข้าถึงข้อมูลของผู้ใช้งาน ซึ่งรวมถึงการอนุญาตให้เฉพาะผู้ที่ได้รับมอบหมายเข้าถึงข้อมูลได้ นอกจากนี้ยังมีการกำหนดหน้าที่ความรับผิดชอบของผู้ใช้งาน เพื่อป้องกันการเข้าถึงข้อมูลส่วนบุคคลโดยไม่ได้รับอนุญาต หรือการลักลอบทำสำเนาข้อมูลส่วนบุคคล รวมถึงการลักขโมยอุปกรณ์ที่ใช้ในการจัดเก็บหรือประมวลผลข้อมูลส่วนบุคคลด้วยครับ [Page 5].,0.7729847431182861,0.8695917725563049,0.8184473514556885
การส่งข้อความ/การแจ้งเตือน,EGAT สามารถส่งข้อความหรือการแจ้งเตือนไปยังอุปกรณ์ของท่านเพื่อประชาสัมพันธ์ข่าวสารและแจ้งสถานะต่าง ๆ,การส่งข้อความและการแจ้งเตือน (Push Notifications) เป็นการส่งข้อความหรือการแจ้งเตือนไปยังอุปกรณ์ของผู้ใช้บริการ เพื่อประชาสัมพันธ์ข่าวสาร แจ้งสถานะการจอง การชาร์จ การแจ้งเตือนให้ชำระค่าบริการ และแจ้งเตือนเหตุการณ์ต่าง ๆ ตามความเหมาะสม ผู้ใช้บริการสามารถยกเลิกการส่งข่าวสารเหล่านี้ได้ทุกเมื่อ โดยการเปลี่ยนแปลงการตั้งค่าการแจ้งเตือน (notification settings) บนอุปกรณ์ของตน [Page 1].,0.749380350112915,0.8476759195327759,0.7955031991004944
ระยะเวลาในการเก็บรักษาข้อมูลส่วนบุคคล,EGAT จะเก็บรักษาข้อมูลส่วนบุคคลในระยะเวลาที่จำเป็นตามวัตถุประสงค์และกฎหมายที่เกี่ยวข้อง,ระยะเวลาในการเก็บรักษาข้อมูลส่วนบุคคลของ EGAT จะเก็บรักษาข้อมูลส่วนบุคคลของท่านในระยะเวลาเท่าที่จำเป็นอย่างเหมาะสมเพื่อใช้ตามวัตถุประสงค์ที่ EGAT แจ้งแก่ท่านตามนโยบายความเป็นส่วนตัว และเพื่อปฏิบัติตามกฎหมายและกฎข้อบังคับต่าง ๆ ทั้งนี้ EGAT อาจเก็บข้อมูลส่วนบุคคลของท่านนานขึ้น หากจำเป็นและ/หรือสามารถทำได้โดยชอบตามกฎหมายที่ใช้บังคับครับ [Page 1].,0.7429574728012085,0.82317054271698,0.7810099124908447
สิทธิในการเข้าถึงข้อมูลส่วนบุคคล,ท่านมีสิทธิในการเข้าถึงหรือขอรับสำเนาข้อมูลส่วนบุคคลที่ EGAT เก็บรวบรวมเกี่ยวกับท่าน,"สิทธิในการเข้าถึงข้อมูลส่วนบุคคลหมายถึงสิทธิของบุคคลในการขอเข้าถึงหรือขอรับสำเนาข้อมูลส่วนบุคคลที่องค์กรหรือหน่วยงานเก็บรวบรวม ใช้ หรือเปิดเผยเกี่ยวกับตนเอง โดยสิทธินี้มีความสำคัญเพราะช่วยให้บุคคลสามารถตรวจสอบความถูกต้องและความครบถ้วนของข้อมูลที่เกี่ยวข้องกับตนเองได้ นอกจากนี้ยังช่วยให้บุคคลสามารถควบคุมการใช้ข้อมูลส่วนบุคคลของตนได้อย่างมีประสิทธิภาพ

ตามนโยบายความเป็นส่วนตัวของ EGAT ผู้ใช้บริการมีสิทธิในการเข้าถึงข้อมูลส่วนบุคคลที่ EGAT เก็บรวบรวมและสามารถขอสำเนาข้อมูลเหล่านั้นได้ ซึ่งเป็นไปตามบทบัญญัติแห่งกฎหมายและข้อยกเว้นที่เกี่ยวข้อง [Page 1]. 

การใช้สิทธินี้สามารถทำได้โดยการติดต่อ EGAT หรือเจ้าหน้าที่คุ้มครองข้อมูลส่วนบุคคลของ EGAT ตามที่ระบุในนโยบายความเป็นส่วนตัว [Page 1]. 

ครับ",0.7065750360488892,0.825469434261322,0.761408805847168
สิทธิในการแก้ไขข้อมูลส่วนบุคคล,ท่านมีสิทธิขอให้มีการแก้ไขข้อมูลส่วนบุคคลที่ไม่ถูกต้องหรือไม่ปัจจุบัน,"สิทธิในการแก้ไขข้อมูลส่วนบุคคลนั้นเป็นสิทธิที่เจ้าของข้อมูลมีในการขอให้มีการดำเนินการแก้ไขข้อมูลส่วนบุคคลที่ถูกเก็บรวบรวม ใช้หรือเปิดเผยโดย EGAT ให้ถูกต้อง เป็นปัจจุบัน สมบูรณ์ และไม่ก่อให้เกิดความเข้าใจผิด โดยเจ้าของข้อมูลสามารถขอให้ EGAT ดำเนินการแก้ไขข้อมูลดังกล่าวได้ตามที่กฎหมายกำหนด [Page 1]. 

การมีสิทธิในการแก้ไขข้อมูลส่วนบุคคลนี้มีความสำคัญ เนื่องจากข้อมูลที่ถูกต้องและเป็นปัจจุบันจะช่วยให้การให้บริการของ EGAT เป็นไปอย่างมีประสิทธิภาพ และลดความเสี่ยงในการเกิดความเข้าใจผิดหรือข้อผิดพลาดที่อาจเกิดขึ้นจากข้อมูลที่ไม่ถูกต้องครับ.",0.6947086453437805,0.8120890855789185,0.748826801776886
สิทธิในการลบข้อมูลส่วนบุคคล,ท่านมีสิทธิขอให้ EGAT ลบหรือทำลายข้อมูลส่วนบุคคลที่ไม่สามารถระบุตัวท่านได้ตามกฎหมาย,"ท่านมีสิทธิในการขอลบข้อมูลส่วนบุคคลที่ EGAT เก็บรวบรวม ใช้หรือเปิดเผยเกี่ยวกับท่านได้ โดยการขอให้ข้อมูลส่วนบุคคลของท่านถูกลบ ท่านสามารถทำได้เมื่อข้อมูลดังกล่าวไม่จำเป็นต่อการใช้ตามวัตถุประสงค์ที่ EGAT แจ้งแก่ท่าน หรือเมื่อท่านได้ถอนความยินยอมในการเก็บรวบรวมข้อมูลนั้น ๆ หากการเก็บรักษาข้อมูลส่วนบุคคลนั้นเป็นไปเพื่อการปฏิบัติตามกฎหมาย หรือเพื่อก่อตั้งสิทธิเรียกร้องตามกฎหมาย EGAT จะไม่สามารถลบข้อมูลดังกล่าวได้ [Page 5]. 

หากท่านต้องการใช้สิทธิในการลบข้อมูลส่วนบุคคลของท่าน ท่านสามารถติดต่อ EGAT หรือเจ้าหน้าที่คุ้มครองข้อมูลส่วนบุคคลของ EGAT ได้ตามที่ระบุในนโยบายความเป็นส่วนตัว [Page 5]. 

ครับ",0.7077586650848389,0.811235249042511,0.7559725046157837
